voltagens	amperagens	campo	razao e/m
120.0	1.0	0.0006923657402682812	200262712011.45355
140.0	1.13	0.0007823732865031576	182974258501.0801
160.0	1.24	0.0008585335179326685	173658265705.38812
180.0	1.31	0.0009069991197514484	175044617456.54697
200.0	1.38	0.0009554647215702278	175263173012.89438
219.0	1.45	0.0010039303233890075	173830891520.0489
240.0	1.53	0.00105931958261047	171098903850.18887
260.0	1.59	0.001100861527026567	171631874803.7984
280.0	1.66	0.0011493271288453466	169574561387.74072
300.0	1.71	0.0011839454158587605	171217393395.79156
320.0	1.78	0.0012324110176775405	168550024838.15472
341.0	1.82	0.0012601056472882717	171802884101.92422
351.0	1.85	0.0012808766194963201	171152208220.16116
