wavelength	refractionIndex	intensidade	posicao
318.17914911420377	1.0	1.4	0.0
318.1740173139906	1.0011566974571864	1.4	0.002
318.1421967831723	1.0081798429444224	1.3	0.014
318.04798154089684	1.0275781422060004	1.0	0.046
698.1715986453476	1.7176298699108539	0.2	1.019
318.4370384391488	0.9314688205939452	0.1	3.278
316.8662710465053	1.1714288588922777	0.1	6.536
318.1905784453868	0.9973991414256861	0.1	10.463
305.049936492812	1.398110081726945	0.1	15.164
312.96307731926936	1.3162750012523559	0.1	19.289
317.7030425900295	1.084710021535593	0.1	23.51
318.28422587665295	0.9747134082547174	0.1	28.32
347.95413249088614	1.8504322032888307	0.1	32.803
317.87804930191226	1.0580839367671535	0.1	36.414
343.66134405166815	1.8653265826786063	0.1	39.337
317.70934643840576	1.0838219460582477	0.2	42.339
345.14061168711146	1.8597654342448986	0.2	45.429
318.02982987535466	1.0310947285262388	0.3	48.286
315.7682625178227	1.2355817204243007	0.3	50.602
306.4951263912753	1.3888751397208765	0.4	52.875
317.83584474456995	1.0649028817345478	0.5	54.731
318.45433535569975	0.9259956516783563	0.6	56.399
344.8177952833826	1.8609364466154037	1.2	58.005
318.413651538171	0.9386652041696665	99.6	59.81
317.75717211550847	1.0769214828278695	78.9	61.102
318.6007168566623	0.8737824204576914	21.5	62.493
450.57172842475927	1.7555305220424287	6.6	63.928
51.8191079834761	1.5474198745442687	2.7	65.229
318.61148081910903	0.8694689078451762	1.5	66.497
317.7057978658579	1.0843224632968107	1.0	67.606
318.3976012450177	0.9434737305304784	0.8	68.256
318.3976012450177	0.9434737305304784	0.8	68.256
318.3925288507709	0.9449719894416971	0.8	68.251
318.38740927028886	0.9464739574994796	0.8	68.246
318.38637973405685	0.9467747684191726	0.8	68.245
318.38637973405685	0.9467747684191726	0.8	68.245
318.38637973405685	0.9467747684191726	0.8	68.245
318.38637973405685	0.9467747684191726	0.8	68.245
