wavelength	refractionIndex	intensidade	posicao	intensityTheory
318.1793619004181	0.9999518909500126	0.1	-8.333333333333333e-05	inf
318.17927679587024	0.9999711337365886	0.1	-5e-05	inf
318.17927679587024	0.9999711337365886	0.1	-5e-05	inf
318.17927679587024	0.9999711337365886	0.1	-5e-05	inf
318.17914911420377	1.0	0.1	0.0	inf
318.1792342386277	0.9999807555465968	0.1	-3.3333333333333335e-05	inf
318.183093416692	0.9991063097653523	0.1	-0.00155	inf
318.22768711627543	0.9887117474348636	0.1	-0.019899999999999998	inf
318.3182232359226	0.9658159396682813	0.1	-0.06278333333333333	inf
318.4059539633794	0.9409842821386635	0.0	-0.11453333333333333	inf
318.4860768650625	0.9156008340280591	0.0	-0.17654999999999998	inf
318.55173834970935	0.8925290538659498	0.0	-0.24860000000000002	inf
318.5904322285582	0.8778367100190436	0.0	-0.31384999999999996	inf
318.6106713572381	0.869795827840015	0.0	-0.37143333333333334	inf
318.6198862944961	0.8660493806591304	0.1	-0.44165	inf
318.6132676254814	0.8687457881824263	0.1	-0.5149666666666667	inf
318.59545407452043	0.8758651482700003	0.1	-0.57805	inf
318.571794335868	0.8850218590015332	0.1	-0.63225	inf
318.5442443340458	0.8952764734877671	0.2	-0.6810166666666666	inf
318.50896661678377	0.9078077936959381	0.1	-0.7325666666666667	inf
318.47682671789903	0.9186783726223452	0.2	-0.7732833333333333	inf
318.4587308001165	0.9245837430965455	0.2	-0.7944	inf
318.4405534426253	0.9303671610312872	0.2	-0.8145833333333333	inf
318.4214587564919	0.9362883020654219	0.2	-0.83485	inf
318.399756063092	0.942834172206003	0.2	-0.8569	inf
318.3783606037676	0.9491038260052668	0.3	-0.8777666666666666	inf
318.3622351766722	0.9537135141800007	0.3	-0.8929999999999999	inf
318.3464131072069	0.9581432847617172	0.5	-0.9075833333333333	inf
318.3232802655182	0.964459723086034	0.7	-0.9283333333333333	inf
318.3035813660376	0.9696942508461779	3.6	-0.9455333333333333	inf
318.29448017412153	0.9720693607242684	83.5	-0.95335	inf
318.2779981196792	0.9763029494179578	99.7	-0.9673166666666667	inf
318.26434546929266	0.9797453750188609	92.5	-0.9787166666666667	inf
318.25379181242727	0.9823674421272087	52.0	-0.9874333333333334	inf
318.23637873336077	0.9866213766746199	22.8	-1.00165	inf
318.21379517198204	0.9920083734544609	7.8	-1.0198166666666666	inf
318.19227743316384	0.9970095757500331	3.1	-1.0368833333333334	inf
318.16505473893073	1.0031606036293566	1.4	-1.0582	inf
318.13767941912755	1.0091565614641245	1.0	-1.0794	inf
318.11726635333696	1.0135092501407839	0.7	-1.0951	inf
318.112551908602	1.0145005786905326	0.7	-1.0987166666666668	inf
318.11274751096323	1.014459550934817	0.7	-1.0985666666666667	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.11281271041884	1.01444587332918	0.7	-1.0985166666666666	inf
318.1128561763516	1.014436754456965	0.7	-1.0984833333333335	inf
