wavelength	refractionIndex	intensidade	posicao
313.48703650038783	1.305694932444144	0.7	0.426
78.7546959961957	1.5442860912419805	1.9	0.74
285.2743904587144	1.4601588593272097	1.1	0.625
291.2926493924197	1.4480543549925486	1.1	0.609
300.6141881116326	1.419771823481799	1.0	0.572
303.64773460158585	1.4058847791146207	0.9	0.554
303.3457343917898	1.407431455186029	0.9	0.556
306.3901972471207	1.3895945646775554	0.8	0.533
309.1856458510258	1.3669697587768115	0.7	0.504
309.02171532191693	1.3685341306280625	0.7	0.506
309.02171532191693	1.3685341306280625	0.7	0.506
309.02171532191693	1.3685341306280625	0.7	0.506
309.8057116188495	1.3607071646061921	0.7	0.496
313.83667991903906	1.2978267923702933	0.5	0.416
316.2440617310184	1.2119610123769535	0.2	0.306
318.19774376501977	0.9957509569999282	0.1	3.149
361.45187508841997	1.8196649011883312	0.1	7.546
318.61015253842214	0.870005146103731	0.1	12.197
318.4066127853093	0.940786736320529	0.1	16.558
343.5347684337875	1.8658266898402716	0.1	20.361
318.6129152558931	0.8688885531285124	0.1	24.616
317.426039155658	1.1194707859033022	0.1	28.092
318.1990231635826	0.9954552185388795	0.1	31.408
318.5829100456135	0.8807614002801517	0.1	34.856
309.8876016671536	1.3598361739771252	0.1	38.194
318.2535265878596	0.9824329064788364	0.3	40.872
318.54392762798716	0.8953919061946144	0.3	43.744
1202.382424297739	1.6965858190866479	0.3	46.144
318.14970650743805	1.00654511665036	0.4	48.194
318.5803739561679	0.8817398403917662	0.4	49.651
-291.7392365300874	1.568350965991709	0.5	51.04
-1952.4183019346847	1.5917984175567796	0.5	52.598
318.60443076779165	0.8723023306780556	0.5	53.958
317.8706617712433	1.0592973378866777	0.7	55.257
318.1467270829011	1.0071953367242887	1.3	56.561
16252047.424678262	1.6372714385728118	2.5	57.428
343.6691089129786	1.8652960343971856	99.6	58.187
313.89433908878715	1.296458368844749	99.7	59.276
318.5730545348125	0.8845424796862793	74.8	60.32
318.13594162202463	1.0095309827711871	50.9	60.771
317.69755458291195	1.0854792043109072	30.6	61.239
318.6064478703643	0.8714948527345293	12.4	62.288
314.635609195049	1.2767214265605142	6.3	63.221
15143.575934098097	1.6586176075253385	4.4	63.746
343.0881227040078	1.8676242823573506	2.9	64.4
285.08285149249497	1.4604948746266808	2.4	65.348
318.21029135367877	0.9928313494808839	1.9	65.986
318.4304223978854	0.9335280112300945	1.8	66.105
318.5998694768573	0.8741189223761663	1.7	66.31
318.59676713792913	0.8753471040773045	1.7	66.302
318.59385470524956	0.8764947231425151	1.7	66.295
318.59385470524956	0.8764947231425151	1.7	66.295
318.59342339278135	0.876664237351487	1.7	66.294
318.592549246491	0.8770074462773774	1.7	66.292
