wavelength	refractionIndex	intensidade	posicao
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.17914911420377	1.0	0.2	0.0
318.1740173139906	1.0011566974571864	0.2	0.002
318.1740173139906	1.0011566974571864	0.2	0.002
318.1740173139906	1.0011566974571864	0.2	0.002
318.15833073168545	1.0046506045814176	0.2	0.008
318.1662290847109	1.0028992031561406	0.2	0.005
318.17914911420377	1.0	0.2	0.0
318.171433369579	1.0017365404052045	0.2	0.003
318.11996445284103	1.0129395795957687	0.1	0.022
315.6708534521043	1.2398467365007457	0.1	0.342
343.47365687902055	1.8660695968038696	0.1	1.626
315.22318487649767	1.2574783623166752	0.0	2.777
317.8384637725371	1.0644875832255647	0.0	4.463
311.6068563812749	1.3385897151103625	0.0	6.751
318.5218899841883	0.9032924272400433	0.0	9.637
315.2653050725688	1.2559430052232963	0.0	12.929
318.3976029079619	0.9434732376725352	0.0	16.567
260.74518411883935	1.489622821114553	0.0	19.514
309.00938815164864	1.3686503226549274	0.1	21.485
318.2238775767799	0.9896211691296646	0.1	24.121
270.2585383393776	1.4806373781481648	0.1	27.622
318.4175182914945	0.9374911195183906	0.1	30.577
391.7193143839196	1.7851029663162656	0.1	32.581
318.6183416194621	0.8666811987653665	0.1	35.038
318.2662778570862	0.9792616181552447	0.0	36.722
318.3836086403649	0.9475823930059792	0.0	37.599
1671.1870216347377	1.6882021201442383	0.1	38.664
2508.7423008010696	1.6801208273984158	0.0	39.89
318.4248676100111	0.9352425449929288	0.1	41.672
318.60490701108796	0.8721119129212573	0.1	43.433
798.0427342651219	1.7111417811220142	0.1	44.989
-2700.7426439954816	1.5956766340530948	0.1	46.309
318.61969613294855	0.8661272458509279	0.1	47.559
318.2419652916469	0.9852662869200413	0.1	48.121
317.8976422812082	1.0548237941521155	0.1	48.392
317.73890241718163	1.079592049765238	0.1	48.827
318.3859219411874	0.9469083949387738	0.1	49.395
318.562166044572	0.8886542780667268	0.1	50.002
314.17098958811715	1.2895828649647763	0.1	50.671
345.88389768331143	1.857152892072437	0.1	51.693
391.7184706866693	1.7851036226411707	0.1	52.242
1270.663990860186	1.6950257826942756	0.1	52.43
253.46304647910114	1.4952554966203357	0.1	52.735
313.66320635695706	1.3018196452790571	0.1	52.986
318.30688981004795	0.9688241428613237	0.1	53.464
318.59586507635726	0.875703108979659	0.1	53.984
317.7398847218502	1.0794495639419763	0.1	54.844
318.48229799654456	0.9168629637759508	0.1	55.782
318.4725776768547	0.920078552587433	0.2	56.384
317.6194603005823	1.096041499417131	0.2	56.698
310.0005280301895	1.3586170654065404	0.2	57.042
22208.99256929027	1.6557150000730032	0.3	57.458
437.6603616555015	1.7601615846979868	0.3	57.655
346.7233686773593	1.8543340602387126	0.4	57.958
349.9400817395011	1.8446476240779006	0.6	58.332
569.961273454245	1.7305787164566644	1.3	58.646
103.69604370839482	1.540934362979972	11.2	58.955
314.7110196851267	1.2744558951137153	83.9	59.304
318.0343186713137	1.030231339059955	94.8	59.64
318.52416433097386	0.9024889110182871	66.8	59.905
318.6199081512917	0.8660404294832804	47.0	60.143
318.36785082710446	0.9521192377647871	25.1	60.578
317.90042110843336	1.0543564009663247	13.6	60.956
317.75717211550847	1.0769214828278695	10.7	61.102
317.7133224893209	1.0832592881676175	7.6	61.344
317.9711753641965	1.0420151209323893	5.1	61.624
318.3634637508865	0.9533657214713792	3.3	61.94
318.6189233946366	0.8664434167753693	2.0	62.358
318.4656684744914	0.9223374749108016	1.4	62.673
317.9187864315292	1.0512354039763756	1.0	62.915
315.232805350811	1.2571297384751368	0.9	63.196
-323.928758979838	1.569471419662293	0.6	63.608
379.88911271748464	1.795560236325137	0.4	64.024
344.6682416470229	1.8614867271228037	0.3	64.293
349.69593226694604	1.8453276349587981	0.3	64.612
349.18195241430817	1.846786696206685	0.3	64.605
347.8711789447509	1.8506870861738138	0.3	64.585
347.0788705975373	1.8531798863375566	0.3	64.571
346.5696480406899	1.8548402585155048	0.3	64.561
346.37836427128997	1.855476296471468	0.3	64.557
346.1938927409009	1.8560962485359092	0.3	64.553
346.05990542467947	1.8565506474909705	0.3	64.55
346.0160607365463	1.8567001002255008	0.3	64.549
345.92958277039565	1.8569959840079242	0.3	64.547
