wavelength	refractionIndex	intensidade	posicao	intensityTheory
318.16966071226045	1.0021333377068424	0.4	0.003683333333333333	inf
318.16718685276373	1.0026857517940913	0.4	0.004633333333333334	inf
318.16334589810174	1.0035403541062247	0.5	0.0060999999999999995	inf
318.16334589810174	1.0035403541062247	0.6	0.0060999999999999995	inf
318.163564841521	1.003491740263638	0.6	0.006016666666666667	inf
318.1637399347572	1.003452854119764	0.6	0.0059499999999999996	inf
318.16395872445884	1.0034042526037967	0.5	0.005866666666666666	inf
318.1650077276307	1.0031710607029822	0.5	0.0054666666666666665	inf
318.17573324543963	1.0007706883350584	0.2	0.0013333333333333333	inf
318.1955417115126	0.9962589405077962	0.1	-0.006516666666666667	inf
318.24202800824696	0.9852510226903604	0.1	-0.02615	inf
318.3040864315433	0.9695616535378841	0.1	-0.0555	inf
318.36577334533087	0.9527103955464963	0.1	-0.08926666666666666	inf
318.4189259060356	0.9370621873300595	0.1	-0.12338333333333333	inf
318.4750221637361	0.9192740532028765	0.1	-0.16676666666666667	inf
318.5370140044883	0.8978982571677516	0.1	-0.22968333333333335	inf
318.5690073189619	0.8860787751914555	0.1	-0.2741	inf
318.5976687792855	0.8749907655478473	0.1	-0.33081666666666665	inf
318.611917849342	0.8692922298431206	0.1	-0.37665	inf
318.61992157889443	0.8660349302236922	0.1	-0.4439333333333333	inf
318.61470002671183	0.8681646238949308	0.1	-0.5072333333333333	inf
318.60312049862245	0.872825487896134	0.1	-0.5552833333333334	inf
318.591531320346	0.8774065207052477	0.1	-0.5883666666666667	inf
318.5767606438159	0.8831273184712433	0.1	-0.6221666666666666	inf
318.5604743104314	0.8892870505479428	0.1	-0.65355	inf
318.53997890352474	0.8968265678134656	0.1	-0.6877666666666666	inf
318.5135345612199	0.9062214913624748	0.2	-0.7263666666666667	inf
318.4944272753705	0.9127875393887526	0.2	-0.7515666666666667	inf
318.47642325394736	0.9188116876408592	0.2	-0.7737666666666667	inf
318.4566287279113	0.9252600534365378	0.2	-0.7967833333333334	inf
318.4308115392414	0.9334074105353496	0.3	-0.8250333333333334	inf
318.40767362906377	0.9404682771750885	0.3	-0.8489666666666666	inf
318.3916159459157	0.945240564613303	0.3	-0.8649333333333333	inf
318.37502552272645	0.9500652248430409	0.3	-0.88095	inf
318.35517451492046	0.955701546123144	0.4	-0.89955	inf
318.3357620446255	0.9610747799806124	0.5	-0.9172166666666667	inf
318.31872138030485	0.9656827300388253	0.6	-0.93235	inf
318.2996531736025	0.9707226863629606	0.8	-0.9489166666666667	inf
318.2787910821221	0.9761012340419599	1.6	-0.96665	inf
318.25725303776267	0.9815111927360779	99.6	-0.9845833333333334	inf
318.2344041803514	0.9870981680547658	98.6	-1.00325	inf
318.21842307760755	0.9909161556319986	50.0	-1.0161166666666666	inf
318.2060097838957	0.9938324180860589	28.4	-1.0260166666666666	inf
318.19327086896044	0.9967814320076316	16.6	-1.0361	inf
318.1742027069713	1.001115028793199	8.1	-1.0510666666666666	inf
318.1522168873771	1.005995559386723	3.8	-1.0681666666666667	inf
318.1340894183432	1.0099292531180837	2.2	-1.0821666666666667	inf
318.1151377108174	1.01395748888019	1.5	-1.0967333333333333	inf
318.09758425935973	1.017614039350663	1.1	-1.1101833333333333	inf
318.0778051232001	1.0216511299102764	0.8	-1.1253166666666667	inf
